Spider-Man (Peter Parker)
Captain America (Steven Rogers)
"Wolverine (James \""Logan\"" Howlett)"
"Iron Man (Anthony \""Tony\"" Stark)"
Thor (Thor Odinson)
Benjamin Grimm (Earth-616)
Reed Richards (Earth-616)
Hulk (Robert Bruce Banner)
Scott Summers (Earth-616)
Jonathan Storm (Earth-616)
Henry McCoy (Earth-616)
Susan Storm (Earth-616)
Namor McKenzie (Earth-616)
Ororo Munroe (Earth-616)
Clinton Barton (Earth-616)
Matthew Murdock (Earth-616)
Stephen Strange (Earth-616)
Mary Jane Watson (Earth-616)
John Jonah Jameson (Earth-616)
Robert Drake (Earth-616)
Henry Pym (Earth-616)
Charles Xavier (Earth-616)
Warren Worthington III (Earth-616)
Piotr Rasputin (Earth-616)
Wanda Maximoff (Earth-616)
Nicholas Fury (Earth-616)
Janet van Dyne (Earth-616)
Jean Grey (Earth-616)
Natalia Romanova (Earth-616)
Kurt Wagner (Earth-616)
Vision (Earth-616)
May Reilly (Earth-616)
Katherine Pryde (Earth-616)
Carol Danvers (Earth-616)
Jennifer Walters (Earth-616)
Emma Frost (Earth-616)
Frank Castle (Earth-616)
Luke Cage (Earth-616)
Rogue (Anna Marie) (Earth-616)
Conan (Earth-616)
Joseph Robertson (Earth-616)
Pietro Maximoff (Earth-616)
Hercules (Earth-616)
Victor von Doom (Earth-616)
Max Eisenhardt (Earth-616)
Elizabeth Braddock (Earth-616)
Norrin Radd (Earth-616)
Norman Osborn (Earth-616)
Eugene Thompson (Earth-616)
Simon Williams (Earth-616)
Samuel Guthrie (Earth-616)
James Buchanan Barnes (Earth-616)
Remy LeBeau (Earth-616)
Daniel Rand (Earth-616)
Nathan Summers (Earth-616)
Elizabeth Brant (Earth-616)
Richard Jones (Earth-616)
Edwin Jarvis (Earth-616)
Alexander Summers (Earth-616)
Patricia Walker (Earth-616)
Human Torch (Android) (Earth-616)
Loki Laufeyson (Earth-616)
Franklin Nelson (Earth-616)
Brian Braddock (Earth-616)
Otto Octavius (Earth-616)
James Rhodes (Earth-616)
Timothy Dugan (Earth-616)
Crystalia Amaquelin (Earth-616)
Samuel Wilson (Earth-616)
Wilson Fisk (Earth-616)
Odin Borson (Earth-616)
Dane Whitman (Earth-616)
Harold Osborn (Earth-616)
Franklin Richards (Earth-616)
Jessica Drew (Earth-616)
Roberto da Costa (Earth-616)
Rahne Sinclair (Earth-616)
Elizabeth Ross (Earth-616)
Lorna Dane (Earth-616)
Blaine Colt (Earth-616)
Johnathon Blaze (Earth-616)
Sif (Earth-616)
Red Hulk (Thaddeus Ross)
Jubilation Lee (Earth-616)
Volstagg (Earth-616)
Balder Odinson (Earth-616)
Galactus (Earth-616)
Danielle Moonstar (Earth-616)
Marc Spector (Earth-616)
Gwendolyne Stacy (Earth-616)
Medusalith Amaquelin (Earth-616)
Sabretooth (Victor Creed)
Illyana Rasputina (Earth-616)
Johann Shmidt (Earth-616)
Fandral (Earth-616)
Sean Cassidy (Earth-616)
Thomas Raymond (Earth-616)
Uatu (Earth-616)
Richard Rider (Earth-616)
Hogun (Earth-616)
Batman (Bruce Wayne)
Superman (Clark Kent)
Green Lantern (Hal Jordan)
James Gordon (New Earth)
Richard Grayson (New Earth)
Wonder Woman (Diana Prince)
Aquaman (Arthur Curry)
Timothy Drake (New Earth)
Dinah Laurel Lance (New Earth)
Flash (Barry Allen)
Alan Scott (New Earth)
Barbara Gordon (New Earth)
Jason Garrick (New Earth)
Lois Lane (New Earth)
Alfred Pennyworth (New Earth)
Carter Hall (New Earth)
Kyle Rayner (New Earth)
Raymond Palmer (New Earth)
Alexander Luthor (New Earth)
Roy Harper (New Earth)
Kara Zor-L (Earth-Two)
Ted Grant (New Earth)
Garfield Logan (New Earth)
Guy Gardner (New Earth)
Victor Stone (New Earth)
Kon-El (New Earth)
Ralph Dibny (New Earth)
James Olsen (New Earth)
John Stewart (New Earth)
Joker (New Earth)
