hit_id,worker_id,image_url,seen,prompt,type_test,emot0,emot1,emot2,pers0,pers1,pers2,phys0,phys1,phys2
3VLL1PIENQ55KNIM29J0KL7QREZOZH,AUNCXP5YDEBH0,https://vignette.wikia.nocookie.net/marveldatabase/images/7/79/Black_Widow_Vol_6_12_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20161221011921,FALSE,purfler,purfler,,,,evil,ruthless,mean,dark,shadowy,red
3XUY87HIVPVHLDYRA4ETKFMCHA2MMJ,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/a/a5/X-Men_Red_Vol_1_9_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180725085752,FALSE,emplead,emplead,,,,intelligent,wise,powerful,handsome,floating,blue
3XUY87HIVPVHLDYRA4ETKFMCHA2MMJ,A155V4M8U8MP46,https://vignette.wikia.nocookie.net/marveldatabase/images/a/a5/X-Men_Red_Vol_1_9_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180725085752,FALSE,emplead,emplead,,,,evil,bad,,male,strong,athletic
3XEDXEGFX35PSBRH0NEF75NVP26K01,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/0/02/All-New%2C_All-Different_Avengers_Vol_1_13_Textless.jpg/revision/latest/scale-to-width-down/327?cb=20181110152047,TRUE,fretter,fretter,,,,strong,thoughtful,powerful,muscular,strong,
3HYV4299H0D4O04AZ5GR2PG8O3ME8Y,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/7/76/May_Reilly_%28Earth-616%29_from_Howard_the_Duck_Vol_6_1_001.jpg/revision/latest/scale-to-width-down/269?cb=20150820184738,FALSE,augends,augends,,,,confident,knowing,powerful,tall,poised,
3W0XM68YZPCPZ0CZW6IFLA65UUCK14,A21CNDWV70DK3G,https://vignette.wikia.nocookie.net/marveldatabase/images/0/0a/Carol_Danvers_%28Earth-616%29_from_Life_of_Captain_Marvel_Vol_2_4_Bartel_Variant_cover.jpg/revision/latest/scale-to-width-down/329?cb=20180726214728,TRUE,rewraps,rewraps,happy,cool,,ethereal,powerful,,blond,glowing,
335VBRURDJH425NK4XM52LBJ894E9N,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/7/7e/Astonishing_X-Men_Vol_4_1_Artgerm_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20170418163143,FALSE,stright,stright,,,,magical,commanding,powerful,muscular,green,
3SA4EMRVJVJQ32OXDFJN3M9UJCCP07,AVR45JLAQN5ZC,https://vignette.wikia.nocookie.net/marveldatabase/images/0/01/Savage_Sword_of_Conan_Vol_2_4_Textless.jpg/revision/latest/scale-to-width-down/283?cb=20190124194729,FALSE,revulse,revulse,calm,neutral,,stoic,brave,heroic,strong,naked,medieval
3SA4EMRVJVJQ32OXDFJN3M9UJCCP07,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/0/01/Savage_Sword_of_Conan_Vol_2_4_Textless.jpg/revision/latest/scale-to-width-down/283?cb=20190124194729,FALSE,revulse,revulse,,,,angry,wild,,muscular,primitive,armed
3CRWSLD91KL5LGJ3NKT6CJBHCAHMOY,ALPWT2JWPLXA1,https://vignette.wikia.nocookie.net/marveldatabase/images/5/52/Pietro_Maximoff_%28Earth-616%29_from_Quicksilver_No_Surrender_Vol_1_4_001.jpg/revision/latest/scale-to-width-down/325?cb=20180811220338,TRUE,inkling,inkling,fast,,,cheerful,jovial,light,handsome,sleek,silver
3SU800BH869RJ01SBZCWSYNB4X2QU2,AY0INTNXKC6ZO,https://vignette.wikia.nocookie.net/marveldatabase/images/7/7c/Hercules_Vol_4_1_Textless.jpg/revision/latest/scale-to-width-down/325?cb=20150820055656,FALSE,forepad,forepad,angry,determined,upset,strong,brave,heroic,muscular,strong,masculine
329E6HTMSWJL93QEJAWY93L2SEQK3W,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/0/00/Eugene_Thompson_%28Earth-616%29_from_Amazing_Spider-Man_Venom_Inc._Alpha_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/325?cb=20171210032736,FALSE,pakhtun,pakhtun,confused,angry,sad,confused,mean,evil,masked,buff,white
329E6HTMSWJL93QEJAWY93L2SEQK3W,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/0/00/Eugene_Thompson_%28Earth-616%29_from_Amazing_Spider-Man_Venom_Inc._Alpha_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/325?cb=20171210032736,FALSE,pakhtun,pakhtun,,,,intelligent,powerful,destructive,armoured,alien,
