hit_id,worker_id,image_url,seen,prompt,type_test,emot0,emot1,emot2,pers0,pers1,pers2,phys0,phys1,phys2
374UMBUHN76EAGMU90V242SJQ7PTCM,A29V3LDV8VOM0K,https://vignette.wikia.nocookie.net/marveldatabase/images/b/b3/Bernadette_Rosenthal_%28Earth-616%29_from_Captain_America_Vol_1_600_0001.jpg/revision/latest/scale-to-width-down/246?cb=20180502011339,False,donging,donging,,,,involved,focused,curious,female,attractive,
375VMB7D4L0Y6UCXFKR9A18S0QLDIP,A3BVSTEODKSODS,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c6/Fen_%28Earth-616%29.jpg/revision/latest?cb=20100712165730,False,auramin,auramin,affectionate,calm,reassured,purposeful,dynamic,determined,strong,beautiful,long-haired
375VMB7D4L0Y6UCXFKR9A18S0QLDIP,A3AFCDW3U7MKFB,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c6/Fen_%28Earth-616%29.jpg/revision/latest?cb=20100712165730,False,auramin,auramin,neutral,mad,determined,confident,brave,independent,strong,beautiful,blue
375VMB7D4L0Y6UCXFKR9A18S0QLIDU,A35PG6HAKKTRV2,https://vignette.wikia.nocookie.net/marveldatabase/images/1/11/Korr_%28Moloid%29_%28Earth-616%29.jpg/revision/latest?cb=20101008175622,False,embliss,embliss,vulnerable,innocent,youthful,happy,safe,secure,vulnerable,loved,young
375VMB7D4L0Y6UCXFKR9A18S0QLIDU,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/1/11/Korr_%28Moloid%29_%28Earth-616%29.jpg/revision/latest?cb=20101008175622,False,embliss,embliss,fearful,loving,kind,caring,curious,careful,unique,good,green
375VMB7D4L0Y6UCXFKR9A18S0QLIDU,A3K3I4WJ3RD51I,https://vignette.wikia.nocookie.net/marveldatabase/images/1/11/Korr_%28Moloid%29_%28Earth-616%29.jpg/revision/latest?cb=20101008175622,False,embliss,embliss,,,,happy,unknowing,naive,alien,strange,creepy
378G7J1SJNFLZVA20W68HAZLFDKWE8,A3IJNWM14T6CN7,https://vignette.wikia.nocookie.net/marveldatabase/images/7/72/Microtron.jpg/revision/latest?cb=20111113131742,False,arratel,arratel,isolated,serious,,isolated,serious,,,,
379OL9DBSUV8T4EL7M8AATJQZO4Y9Z,A3IJNWM14T6CN7,https://vignette.wikia.nocookie.net/marveldatabase/images/a/aa/Patricia_Tilby_%28Earth-616%29-Uncanny_X-Men_Vol_1_342_001.jpg/revision/latest/scale-to-width-down/293?cb=20151129214512,False,gadding,gadding,strong,serious,,strong,serious,,pretty,strong,
37J05LC5AZ0U15W3X2C9M2NSD5ADJ1,A29V3LDV8VOM0K,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c6/Zuras_%28Earth-616%29_from_X-Men_Vol_3_12.jpg/revision/latest/scale-to-width-down/204?cb=20130619044654,False,lateran,lateran,,,,menacing,threatening,,imposing,slow,strong
37J05LC5AZ0U15W3X2C9M2NSD5AJD7,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/6/69/Humberto_Lopez_%28Earth-616%29.png/revision/latest/scale-to-width-down/350?cb=20100315200933,False,dormins,dormins,secretive,resentful,,sincere,,,ugly,rough,good-looking
37J05LC5AZ0U15W3X2C9M2NSD5AJD7,A2VCNB4XETPOT2,https://vignette.wikia.nocookie.net/marveldatabase/images/6/69/Humberto_Lopez_%28Earth-616%29.png/revision/latest/scale-to-width-down/350?cb=20100315200933,False,dormins,dormins,sad,,,,,,muscular,hard,clammy
37J05LC5AZ0U15W3X2C9M2NSD5AJD7,A2F0H1QFK7X0N4,https://vignette.wikia.nocookie.net/marveldatabase/images/6/69/Humberto_Lopez_%28Earth-616%29.png/revision/latest/scale-to-width-down/350?cb=20100315200933,False,dormins,dormins,,,,mischievous,spirited,brave,unusual,humanoid,
37M4O367VLZPY0NVLT7I4IRH4I7M56,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/e/e6/Nathaniel_Richards_%28Earth-616%29_from_Fantastic_Four_Vol_1_588.JPG/revision/latest/scale-to-width-down/306?cb=20120304031303,False,legific,legific,indifferent,hyperactive,judgmental,strong,imaginative,judgmental,violent,horrible,dangerous
37NXA7GVSVNMQCKPR8OG836RH1JLVA,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/3/3e/Luna_Maximoff_%28Earth-616%29_from_All-New_Inhumans_Vol_1_11_001.PNG/revision/latest/scale-to-width-down/250?cb=20161017021310,False,styrian,styrian,undecided,neglectful,optimistic,friendly,fancy,,fair,beautiful,
37Y5RYYI0RM1YEKABWMZ8AH7P6ZXS3,ARA1SVR85THFP,https://vignette.wikia.nocookie.net/marveldatabase/images/7/74/Irene_Merryweather_%28Earth-616%29_from_Cable_%26_Deadpool_Vol_1_13_0001.jpg/revision/latest/scale-to-width-down/350?cb=20061122145952,False,trusion,trusion,tentative,hesitant,,seductive,manipulative,,sexy,enticing,
37Y5RYYI0RM1YEKABWMZ8AH7P6ZXS3,A3TMU2RBQ3Y7F6,https://vignette.wikia.nocookie.net/marveldatabase/images/7/74/Irene_Merryweather_%28Earth-616%29_from_Cable_%26_Deadpool_Vol_1_13_0001.jpg/revision/latest/scale-to-width-down/350?cb=20061122145952,False,trusion,trusion,,,,seductive,manipulative,bossy,busty,female,pale
37ZQELHEQ2FTOPT1PT34YZR3V37NMX,A3AFCDW3U7MKFB,https://vignette.wikia.nocookie.net/marveldatabase/images/7/7f/Onslaught_%28Psychic_Entity%29_%28Earth-616%29_by_Granov.jpg/revision/latest/scale-to-width-down/350?cb=20140714193735,False,attaleh,attaleh,angry,frustrated,determined,intelligent,focused,brave,red,tall,heroic
382GHPVPHU86GVBL16JT3RCX4VW343,A2IZN6YFSP7YQ9,https://vignette.wikia.nocookie.net/marveldatabase/images/3/35/Samuel_Saxon_%28Earth-616%29_from_Captain_America_Vol_6_9.JPG/revision/latest?cb=20120426010101,True,elliott,elliott,ghoulish,frightening,dread,strong,dreadful,,harmful,threatening,dark
382GHPVPHU86GVBL16JT3RCX4VW343,AWLVXTQ4SO4C8,https://vignette.wikia.nocookie.net/marveldatabase/images/3/35/Samuel_Saxon_%28Earth-616%29_from_Captain_America_Vol_6_9.JPG/revision/latest?cb=20120426010101,False,elliott,elliott,happy,humble,,efficient,friendly,gentle,athletic,faithful,cheerful
388CL5C1RL4H8BP5MJ7CT2FI9M8LHK,ARA1SVR85THFP,https://vignette.wikia.nocookie.net/marveldatabase/images/c/cf/Bova_Ayrshire_%28Earth-616%29_from_Avengers_Assemble_Vol_1_1_0001.png/revision/latest/scale-to-width-down/286?cb=20120519001143,False,pupiled,pupiled,questioning,tired,hungry,friendly,strong,misunderstood,eating,homely,
388CL5C1RL4H8BP5MJ7CT2FI9M8LHK,A3S5DWMCT53P8,https://vignette.wikia.nocookie.net/marveldatabase/images/c/cf/Bova_Ayrshire_%28Earth-616%29_from_Avengers_Assemble_Vol_1_1_0001.png/revision/latest/scale-to-width-down/286?cb=20120519001143,False,pupiled,pupiled,angry,hungry,shouting,ugly,stout,browny,muscular,fat,healthy
388CL5C1RL4H8BP5MJ7CT2FI9M8LHK,A1X9X6JCC0UEKM,https://vignette.wikia.nocookie.net/marveldatabase/images/c/cf/Bova_Ayrshire_%28Earth-616%29_from_Avengers_Assemble_Vol_1_1_0001.png/revision/latest/scale-to-width-down/286?cb=20120519001143,False,pupiled,pupiled,happy,satisfied,glad,sensitive,nice,kind,big,large,burly
388FBO7JZTATI6IF8WRFSUEA4DLNYN,A3EA602N6JSZ5W,https://vignette.wikia.nocookie.net/marveldatabase/images/b/bf/Ruth_Aldine_%28Earth-616%29_000.png/revision/latest/scale-to-width-down/150?cb=20130724031534,False,hubbies,hubbies,warm,loving,,glowing,mystic,,slim,attractive,
38DCH97KHJJOQE082OITM1URWKZQJJ,A3M706WDRF9W4E,https://vignette.wikia.nocookie.net/marveldatabase/images/8/85/Daniel_Brito_%28Earth-616%29_from_Amazing_Spider-Man_Annual_Vol_1_42_001.jpg/revision/latest/scale-to-width-down/301?cb=20180221035646,False,trummel,trummel,angry,bad,mad,malicious,,,mean,scheming,devious
38DCH97KHJJOQE082OITM1URWKZQJJ,A3UNY9FSBWUFRX,https://vignette.wikia.nocookie.net/marveldatabase/images/8/85/Daniel_Brito_%28Earth-616%29_from_Amazing_Spider-Man_Annual_Vol_1_42_001.jpg/revision/latest/scale-to-width-down/301?cb=20180221035646,False,trummel,trummel,bold,irritated,outraged,evil,malevolent,powerful,violent,strong,forceful
38VTL6WC4CUPSHC94WVTYDEODSLY58,A2VCNB4XETPOT2,https://vignette.wikia.nocookie.net/marveldatabase/images/2/21/Ghost_%28Earth-616%29_from_Amazing_Spider-Man_Vol_3_16_001.jpg/revision/latest/scale-to-width-down/325?cb=20150312234729,False,nurture,nurture,irritant,,,evil,ugly,mean,rough,hard,
38VTL6WC4CUPSHC94WVTYDEODSLY58,A3IJNWM14T6CN7,https://vignette.wikia.nocookie.net/marveldatabase/images/2/21/Ghost_%28Earth-616%29_from_Amazing_Spider-Man_Vol_3_16_001.jpg/revision/latest/scale-to-width-down/325?cb=20150312234729,False,nurture,nurture,lonely,isolated,mechanical,lonely,isolated,mechanical,lonely,isolated,
38Z7YZ2SB5JSV3G2K6XTA0FRJ5AIQZ,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/1/11/Marvel_Westerns_Strange_Westerns_Starring_the_Black_Rider_Vol_1_1_Textless.jpg/revision/latest/scale-to-width-down/328?cb=20161028195636,False,flytime,flytime,inquisitive,hyperactive,,conceited,hard-working,cooperative,sharp,tacky,terrifying
38Z7YZ2SB5JSV3G2K6XTA0FRJ5AQI7,A15QPJ7RZ06F1K,https://vignette.wikia.nocookie.net/marveldatabase/images/2/20/Ivan_Bezukhov_%28Earth-616%29.jpg/revision/latest/scale-to-width-down/258?cb=20100322234527,False,trilobe,trilobe,wonderful,frightening,awesome,intimidating,menacing,threatening,intimidating,menacing,large
38Z7YZ2SB5JSV3G2K6XTA0FRJ5AQI7,A35PG6HAKKTRV2,https://vignette.wikia.nocookie.net/marveldatabase/images/2/20/Ivan_Bezukhov_%28Earth-616%29.jpg/revision/latest/scale-to-width-down/258?cb=20100322234527,False,trilobe,trilobe,fearful,,,uncertain,inexperienced,,alien,powerful,
39N6W9XWRF4N8E1TLSEK2A5D31ZYGQ,A3NTSR7Z32TDOE,https://vignette.wikia.nocookie.net/marveldatabase/images/a/a7/Doctor_Strange_Vol_4_1_Kirby_Monster_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20150906071430,False,volleys,volleys,confused,hurt,lonely,sacrificial,quiet,brave,strong,muscular,blank
39O0SQZVJPOVIKE6EUIWO1ZN1B1R7E,A3IJNWM14T6CN7,https://vignette.wikia.nocookie.net/marveldatabase/images/0/07/Joy_Mercado_%28Earth-616%29.jpg/revision/latest/scale-to-width-down/342?cb=20070823193525,False,referee,referee,helpful,serious,kind,helpful,serious,kind,pretty,beautiful,
39O0SQZVJPOVIKE6EUIWO1ZN1B1R7E,A1QQNQN745J3M9,https://vignette.wikia.nocookie.net/marveldatabase/images/0/07/Joy_Mercado_%28Earth-616%29.jpg/revision/latest/scale-to-width-down/342?cb=20070823193525,False,referee,referee,sneaky,calm,thoughtful,passionate,strong,smart,glamorous,seductive,blonde
39O0SQZVJPOVIKE6EUIWO1ZN1B1R7E,A1Z3JC2PW0L1NY,https://vignette.wikia.nocookie.net/marveldatabase/images/0/07/Joy_Mercado_%28Earth-616%29.jpg/revision/latest/scale-to-width-down/342?cb=20070823193525,False,referee,referee,annoyed,,,strong,bold,aggressive,young,female,blonde
39O6Z4JLX4EHQ61E5RR4JX1EOATVX6,A2IZN6YFSP7YQ9,https://vignette.wikia.nocookie.net/marveldatabase/images/0/0c/John_Greycrow_%28Earth-616%29_from_X-Men_Battle_of_the_Atom_%28video_game%29_001.jpg/revision/latest/scale-to-width-down/350?cb=20171022205857,False,kidlike,kidlike,fearful,egotistical,,anxious,menacing,aggressive,impressive,,
39O6Z4JLX4EHQ61E5RR4JX1EOATXV8,AXFTXWW2B0Y5B,https://vignette.wikia.nocookie.net/marveldatabase/images/0/09/Jackson_Brice_%28Earth-616%29_from_Amazing_Spider-Man_Annual_Vol_1_42_001.jpg/revision/latest/scale-to-width-down/276?cb=20180221041428,False,cottier,cottier,intimidating,menacing,dangerous,tough,no-nonsense,angry,muscular,western,
39RRBHZ0AWI6V11T69FPGIHPWARVZ3,A1HCP9XUWV8V2S,https://vignette.wikia.nocookie.net/marveldatabase/images/6/66/Maria_Callasantos_%28Earth-616%29_from_X-Factor_Vol_1_220_001.jpg/revision/latest?cb=20140113004506,False,visiter,visiter,cautious,detached,distant,reserved,unfriendly,crazy,gold,frightening,pink
