hit_id,worker_id,image_url,seen,prompt,type_test,emot0,emot1,emot2,pers0,pers1,pers2,phys0,phys1,phys2
301KG0KX9E2B7P3XCDP7E6G9200H21,AUMM5IE22KG6I,https://vignette.wikia.nocookie.net/marveldatabase/images/8/80/Secret_Avengers_Vol_1_27_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120314011719,False,tinemen,tinemen,stormy,furious,angry,charged,vengeful,powerful,golden,fiery,electric
301KG0KX9E2B7P3XCDP7E6G9200H21,A18RH223NQXT25,https://vignette.wikia.nocookie.net/marveldatabase/images/8/80/Secret_Avengers_Vol_1_27_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120314011719,False,tinemen,tinemen,determined,knowledgeable,happy,stern,strong,powerful,,,
301KG0KX9E2B7P3XCDP7E6G9200H21,A2EXVRWKVMINE8,https://vignette.wikia.nocookie.net/marveldatabase/images/8/80/Secret_Avengers_Vol_1_27_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120314011719,False,tinemen,tinemen,overwhelmed,confused,angry,heroic,competitive,,bright,electrifying,inhuman
302OLP89D1O9VKNL304L9X2R1WNCAU,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Beta_Ray_Bill_%28Earth-616%29_from_Unworthy_Thor_Vol_1_3_002.jpg/revision/latest/scale-to-width-down/325?cb=20170109235349,False,fluming,fluming,elated,earnest,edgy,charming,sincere,polite,muscular,rough,slender
302OLP89D1O9VKNL304L9X2R1WNCAU,A2EXVRWKVMINE8,https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Beta_Ray_Bill_%28Earth-616%29_from_Unworthy_Thor_Vol_1_3_002.jpg/revision/latest/scale-to-width-down/325?cb=20170109235349,True,fluming,fluming,brave,fearless,,helpful,good,loyal,mighty,strong,muscular
302OLP89D1O9VKNL304L9X2R1WNCAU,A1YCPB5INBVCGW,https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Beta_Ray_Bill_%28Earth-616%29_from_Unworthy_Thor_Vol_1_3_002.jpg/revision/latest/scale-to-width-down/325?cb=20170109235349,False,fluming,fluming,protective,bossy,,brave,bossy,,confident,strong,proud
307FVKVSYTWOHEC83IMJG8OD8B047I,AMZ59DGY7I2ZI,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2c/Miguel_Santos_%28Earth-616%29_from_Avengers_Vol_1_675_001.jpg/revision/latest/scale-to-width-down/350?cb=20180110202322,True,birches,birches,awestruck,fearful,annoyed,tough,strong,intense,male,muscular,
307FVKVSYTWOHEC83IMJG8OD8B047I,A2I988BSR2YYU3,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2c/Miguel_Santos_%28Earth-616%29_from_Avengers_Vol_1_675_001.jpg/revision/latest/scale-to-width-down/350?cb=20180110202322,False,birches,birches,,,,driven,focused,fearless,creative,dreamy,mystical
307FVKVSYTWOHEC83IMJG8OD8B074L,A6F1QF51VP5KO,https://vignette.wikia.nocookie.net/marveldatabase/images/a/ad/Marlene_Alraune_%28Earth-616%29_from_Moon_Knight_Vol_1_191_cover.jpg/revision/latest/scale-to-width-down/246?cb=20180131175614,False,trilobe,trilobe,frightened,unbelieving,possessed,caring,loving,kind,attractive,fit,
309D674SH12EEUSD9E4H48MXJE8BCO,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f8/Quintavius_Quire_%28Earth-616%29_from_West_Coast_Avengers_Vol_3_5_001.jpg/revision/latest/scale-to-width-down/330?cb=20181225165147,False,flubbed,flubbed,bold,bothered,,giving,kooky,kind,attractive,slender,smart
309D674SH12EEUSD9E4H48MXJE8BCO,A2I988BSR2YYU3,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f8/Quintavius_Quire_%28Earth-616%29_from_West_Coast_Avengers_Vol_3_5_001.jpg/revision/latest/scale-to-width-down/330?cb=20181225165147,False,flubbed,flubbed,,,,funny,witty,smooth,sharp,clever,smart
309D674SH12EEUSD9E4H48MXJE8BCO,A2EXVRWKVMINE8,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f8/Quintavius_Quire_%28Earth-616%29_from_West_Coast_Avengers_Vol_3_5_001.jpg/revision/latest/scale-to-width-down/330?cb=20181225165147,False,flubbed,flubbed,annoyed,angry,cautious,strong,secretive,,short,scrawny,
30EV7DWJTXCLBLCN9F5YQJSO81F6Y6,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/7/76/Frederick_Dukes_%28Earth-616%29_from_All-New_X-Men_Vol_2_5_001.jpg/revision/latest/scale-to-width-down/293?cb=20160225042614,False,myomata,myomata,brave,bold,,diplomatic,considerate,sincere,obese,overweight,stocky
30EV7DWJTXCLBLCN9F5YQJSO81F6Y6,AHTWQSOY6HTJI,https://vignette.wikia.nocookie.net/marveldatabase/images/7/76/Frederick_Dukes_%28Earth-616%29_from_All-New_X-Men_Vol_2_5_001.jpg/revision/latest/scale-to-width-down/293?cb=20160225042614,False,myomata,myomata,,,,hot-tempered,powerful,evil,obese,irate,aggressive
30F94FBDNT1V0BUOV0Z7TIM1708BT7,A2E72QYM3M25CR,https://vignette.wikia.nocookie.net/marveldatabase/images/e/e4/Mephisto_%28Earth-616%29_from_Deadpool_vs._Thanos_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/286?cb=20151015031358,False,subgens,subgens,mean,angry,,cold,malicious,evil,strong,powerful,built
30F94FBDNT1V0BUOV0Z7TIM1708BT7,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/e/e4/Mephisto_%28Earth-616%29_from_Deadpool_vs._Thanos_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/286?cb=20151015031358,True,subgens,subgens,brave,bold,bothered,sympathetic,considerate,gregarious,obese,overweight,paunchy
